0,0,0;0,0
0,10,599;0,648,542,10,0
0,11,811;0,648,542,10,323,669,11,0
0,15,974;0,648,542,10,323,669,15,0
0,22,803;0,648,62,650,144,605,22,0
0,26,535;0,519,649,26,0
0,33,962;0,478,254,570,540,593,472,33,0
0,39,907;0,648,62,190,39,0
0,48,973;0,648,62,650,144,605,398,48,0
0,50,973;0,648,542,384,507,608,50,0
0,60,639;0,478,417,180,60,0
0,62,451;0,648,62,0
0,69,998;0,478,254,570,72,97,511,69,0
0,70,819;0,648,542,10,323,70,0
0,72,529;0,478,254,570,72,0
0,73,930;0,648,542,10,323,70,169,73,0
0,77,580;0,648,542,231,77,0
0,79,720;0,478,417,180,79,0
0,82,949;0,648,542,10,323,70,169,73,82,0
0,89,688;0,648,62,650,144,89,0
0,92,939;0,648,62,650,201,691,92,0
0,95,995;0,425,390,466,95,0
0,97,636;0,478,254,570,72,97,0
0,98,844;0,648,542,231,445,653,336,128,98,0
0,100,821;0,648,62,650,201,691,100,0
0,101,462;0,478,101,0
0,113,880;0,478,417,113,0
0,122,975;0,648,62,650,144,89,465,122,0
0,128,814;0,648,542,231,445,653,336,128,0
0,131,895;0,648,542,231,445,653,336,128,98,131,0
0,137,813;0,648,542,384,507,137,0
0,139,696;0,478,254,570,72,97,139,0
0,144,663;0,648,62,650,144,0
0,146,907;0,478,417,113,146,0
0,147,927;0,478,101,626,167,267,569,147,0
0,149,674;0,648,505,149,0
0,150,844;0,519,454,150,0
0,153,943;0,648,505,149,153,0
0,162,953;0,478,254,226,162,0
0,166,888;0,478,101,626,166,0
0,167,730;0,478,101,626,167,0
0,169,840;0,648,542,10,323,70,169,0
0,170,808;0,648,62,650,170,0
0,178,893;0,478,254,570,72,222,178,0
0,180,517;0,478,417,180,0
0,188,214;0,188,0
0,190,763;0,648,62,190,0
0,191,946;0,648,62,650,170,191,0
0,193,830;0,478,101,455,346,193,0
0,194,895;0,478,254,570,72,222,194,0
0,197,947;0,648,542,231,77,197,0
0,201,580;0,648,62,650,201,0
0,205,788;0,478,254,411,516,205,0
0,207,617;0,648,542,231,621,207,0
0,208,976;0,648,542,10,323,70,169,209,208,0
0,209,951;0,648,542,10,323,70,169,209,0
0,212,953;0,648,542,384,507,451,523,212,0
0,214,879;0,648,542,10,711,214,0
0,215,835;0,478,254,570,72,97,139,215,0
0,222,664;0,478,254,570,72,222,0
0,226,719;0,478,254,226,0
0,230,990;0,648,62,650,144,605,398,48,230,0
0,231,456;0,648,542,231,0
0,234,988;0,425,390,466,234,0
0,236,753;0,648,542,231,445,236,0
0,238,917;0,478,101,626,238,0
0,242,797;0,478,101,626,242,0
0,247,906;0,478,311,434,247,0
0,254,140;0,478,254,0
0,255,696;0,188,400,255,0
0,259,1002;0,648,542,231,621,207,259,0
0,266,933;0,648,542,231,445,653,336,128,98,131,266,0
0,267,752;0,478,101,626,167,267,0
0,281,747;0,478,254,570,72,97,554,281,0
0,288,992;0,648,542,384,507,451,523,212,288,0
0,291,691;0,188,400,291,0
0,293,712;0,478,254,570,540,593,293,0
0,296,901;0,478,254,570,296,0
0,300,913;0,648,505,616,300,0
0,302,1004;0,519,454,150,584,302,0
0,311,603;0,478,311,0
0,312,927;0,648,542,10,323,70,169,467,312,0
0,314,908;0,478,417,180,79,408,314,0
0,315,716;0,188,400,291,315,0
0,316,792;0,478,254,570,72,97,554,316,0
0,322,793;0,478,254,226,322,0
0,323,640;0,648,542,10,323,0
0,325,989;0,478,254,570,540,593,472,325,0
0,326,1004;0,478,254,570,72,222,194,326,0
0,331,832;0,478,101,455,331,0
0,336,792;0,648,542,231,445,653,336,0
0,342,974;0,478,254,411,516,205,497,342,0
0,344,953;0,188,400,291,315,344,0
0,346,817;0,478,101,455,346,0
0,352,930;0,648,62,650,201,352,0
0,360,877;0,478,254,411,574,360,0
0,367,821;0,478,254,570,72,367,0
0,369,896;0,478,254,226,369,0
0,370,794;0,188,400,370,0
0,373,760;0,478,254,570,72,222,373,0
0,374,928;0,648,542,10,323,669,11,374,0
0,380,900;0,648,505,149,380,0
0,384,556;0,648,542,384,0
0,390,809;0,425,390,0
0,392,968;0,478,101,683,392,0
0,393,734;0,648,542,10,393,0
0,398,951;0,648,62,650,144,605,398,0
0,400,658;0,188,400,0
0,408,783;0,478,417,180,79,408,0
0,411,697;0,478,254,411,0
0,417,404;0,478,417,0
0,425,504;0,425,0
0,428,730;0,648,542,231,621,428,0
0,433,776;0,648,542,384,507,433,0
0,434,763;0,478,311,434,0
0,441,999;0,648,62,650,170,441,0
0,443,981;0,478,254,570,72,97,511,443,0
0,445,690;0,648,542,231,445,0
0,446,961;0,648,446,0
0,451,772;0,648,542,384,507,451,0
0,453,987;0,188,453,0
0,454,814;0,519,454,0
0,455,812;0,478,101,455,0
0,456,939;0,648,542,10,323,669,11,456,0
0,465,787;0,648,62,650,144,89,465,0
0,466,820;0,425,390,466,0
0,467,903;0,648,542,10,323,70,169,467,0
0,469,960;0,478,417,180,469,0
0,471,953;0,478,101,455,346,193,471,0
0,472,637;0,478,254,570,540,593,472,0
0,478,126;0,478,0
0,486,908;0,648,62,650,144,605,22,486,0
0,497,889;0,478,254,411,516,205,497,0
0,502,947;0,519,502,0
0,503,952;0,648,542,231,445,236,503,0
0,505,534;0,648,505,0
0,507,685;0,648,542,384,507,0
0,509,796;0,648,505,509,0
0,511,956;0,478,254,570,72,97,511,0
0,514,753;0,648,542,231,621,514,0
0,516,706;0,478,254,411,516,0
0,519,415;0,519,0
0,523,889;0,648,542,384,507,451,523,0
0,525,862;0,478,254,411,516,205,525,0
0,526,606;0,188,526,0
0,536,824;0,648,542,231,445,653,665,536,0
0,540,462;0,478,254,570,540,0
0,541,894;0,648,542,231,445,653,665,541,0
0,542,450;0,648,542,0
0,543,919;0,478,254,570,72,222,178,543,0
0,549,849;0,478,254,570,72,222,373,655,549,0
0,552,970;0,425,552,0
0,554,710;0,478,254,570,72,97,554,0
0,555,977;0,648,542,384,706,555,0
0,556,842;0,648,542,231,445,236,556,0
0,567,675;0,425,567,0
0,569,867;0,478,101,626,167,267,569,0
0,570,440;0,478,254,570,0
0,574,810;0,478,254,411,574,0
0,582,998;0,648,542,10,711,582,0
0,584,903;0,519,454,150,584,0
0,593,470;0,478,254,570,540,593,0
0,603,974;0,648,542,10,323,70,169,467,312,606,603,0
0,605,720;0,648,62,650,144,605,0
0,606,943;0,648,542,10,323,70,169,467,312,606,0
0,608,802;0,648,542,384,507,608,0
0,611,943;0,478,101,626,238,611,0
0,616,838;0,648,505,616,0
0,618,992;0,648,505,616,618,0
0,621,460;0,648,542,231,621,0
0,624,771;0,478,417,180,60,624,0
0,626,612;0,478,101,626,0
0,629,974;0,425,552,629,0
0,631,681;0,478,254,570,631,0
0,635,874;0,648,542,384,507,137,635,0
0,643,1001;0,478,311,434,643,0
0,648,245;0,648,0
0,649,461;0,519,649,0
0,650,461;0,648,62,650,0
0,653,718;0,648,542,231,445,653,0
0,654,822;0,648,542,384,654,0
0,655,820;0,478,254,570,72,222,373,655,0
0,663,991;0,188,526,663,0
0,665,734;0,648,542,231,445,653,665,0
0,666,982;0,648,62,650,201,691,100,666,0
0,669,753;0,648,542,10,323,669,0
0,671,978;0,478,254,411,516,205,497,342,671,0
0,676,850;0,648,542,10,711,676,0
0,683,852;0,478,101,683,0
0,691,725;0,648,62,650,201,691,0
0,697,865;0,648,62,650,697,0
0,700,821;0,648,542,10,700,0
0,703,897;0,478,254,411,516,205,525,703,0
0,706,601;0,648,542,384,706,0
0,709,995;0,648,542,10,323,70,169,467,709,0
0,711,627;0,648,542,10,711,0
0,716,947;0,478,254,570,72,222,194,716,0
0,717,858;0,478,254,411,516,205,717,0
0,721,947;0,478,254,226,721,0
